u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,ref,bridge,junction,tunnel,geometry
8599086,8599096,0,335210733,primary,,40,Great George Street,False,True,118.69235305523513,,,,,"LINESTRING (-63.126536 46.235411, -63.127505 46.23616, -63.127564 46.236206)"
8599096,8597706,0,28326831,tertiary,2,,Kent Street,True,False,157.56710580805085,,,,,"LINESTRING (-63.127564 46.236206, -63.127463 46.236272, -63.127179 46.236457, -63.126687 46.236778, -63.126503 46.236897, -63.126072 46.237177)"
8599096,8599086,0,335210733,primary,,40,Great George Street,False,False,118.69235305523513,,,,,"LINESTRING (-63.127564 46.236206, -63.127505 46.23616, -63.126536 46.235411)"
8599096,8598271,0,335210733,primary,,40,Great George Street,False,True,123.75688561010172,,,,,"LINESTRING (-63.127564 46.236206, -63.127662 46.236282, -63.12816 46.236664, -63.128458 46.236893, -63.128578 46.236986, -63.128641 46.237034)"
8599453,8599096,0,28326831,tertiary,2,,Kent Street,True,False,156.01643968658567,,,,,"LINESTRING (-63.129074 46.235269, -63.128982 46.235327, -63.128481 46.235638, -63.127692 46.236127, -63.127564 46.236206)"
8599453,8598265,0,69692649,tertiary,2,,Queen Street,False,False,123.27633920102444,,,,,"LINESTRING (-63.129074 46.235269, -63.129161 46.235332, -63.129651 46.235689, -63.129802 46.235799, -63.130112 46.236022, -63.13018 46.236072)"
8599453,311067078,0,496086628,tertiary,2,,Queen Street,False,True,117.78955347817295,,,,,"LINESTRING (-63.129074 46.235269, -63.129023 46.23523, -63.128124 46.234551, -63.12804 46.234488)"
8599499,311074389,0,28326065,residential,,,Douglas Street,False,False,70.3347050569046,,,,,"LINESTRING (-63.133658 46.23915, -63.132837 46.239428)"
8599499,2098679141,0,393243507,tertiary,2,,Queen Street,False,False,74.09371358649364,,,,,"LINESTRING (-63.133658 46.23915, -63.134123 46.239733)"
8599499,311073733,0,393243507,tertiary,2,,Queen Street,False,True,73.76188779298253,,,,,"LINESTRING (-63.133658 46.23915, -63.133177 46.238576)"
8599499,311074189,0,28326065,residential,,,Douglas Street,False,True,161.67105611150328,,,,,"LINESTRING (-63.133658 46.23915, -63.133737 46.239122, -63.135476 46.238519, -63.135508 46.238512, -63.135542 46.238507)"
8599848,11698101578,0,390626828,tertiary,,,Kirkwood Drive,False,False,28.28435475131403,,,,,"LINESTRING (-63.137858 46.244204, -63.137522 46.244307)"
8599848,318534181,0,390859780,tertiary,2,,Queen Street,False,False,116.18961626267937,,,,,"LINESTRING (-63.137858 46.244204, -63.138473 46.245159)"
8599848,11698101574,0,393243507,tertiary,2,,Queen Street,False,True,24.642237624604597,,,,,"LINESTRING (-63.137858 46.244204, -63.137703 46.24401)"
8599848,318534322,0,2513063,tertiary,,,Kirkwood Drive,False,True,189.24080878372084,,,,,"LINESTRING (-63.137858 46.244204, -63.139034 46.243851, -63.140105 46.24351)"
8600254,8601198,0,2689209,residential,,,Hillsborough Street,False,False,114.80789757418343,,,,,"LINESTRING (-63.123501 46.237324, -63.123426 46.237267, -63.122555 46.236576, -63.122518 46.236548)"
8600254,12603142,0,2689209,residential,,,Hillsborough Street,False,True,75.98643836365568,,,,,"LINESTRING (-63.123501 46.237324, -63.123588 46.237388, -63.123976 46.237674, -63.124089 46.237758, -63.124178 46.237823)"
8600254,12162203,0,28305411,primary,,40,Grafton Street,False,False,155.59009883044888,,,,,"LINESTRING (-63.123501 46.237324, -63.123411 46.237382, -63.12283 46.237752, -63.12268 46.237848, -63.122568 46.237919, -63.122013 46.238272)"
8600254,12162210,0,28305411,primary,,40,Grafton Street,False,True,63.364213576659196,,,,,"LINESTRING (-63.123501 46.237324, -63.123566 46.237283, -63.124107 46.236939)"
8601198,8682416,0,2689209,residential,,,Hillsborough Street,False,False,59.35348324133158,,,,,"LINESTRING (-63.122518 46.236548, -63.122482 46.23652, -63.122036 46.236182, -63.121998 46.236153)"
8601198,8600254,0,2689209,residential,,,Hillsborough Street,False,True,114.80789757418343,,,,,"LINESTRING (-63.122518 46.236548, -63.122555 46.236576, -63.123426 46.237267, -63.123501 46.237324)"
8601198,12162171,0,431213342,residential,1,,Richmond Street,True,False,157.36014730127877,,,,,"LINESTRING (-63.122518 46.236548, -63.122444 46.236594, -63.121085 46.237457, -63.12101 46.237504)"
8601207,8682418,0,693003010,residential,,,Cumberland Street,False,False,61.32627309236819,,,,,"LINESTRING (-63.119537 46.238442, -63.119018 46.238024)"
8601207,8601214,0,693003012,residential,,,Richmond Street,False,False,66.3808364179336,,,,,"LINESTRING (-63.119537 46.238442, -63.1189 46.238846)"
8601207,10858066,0,177662573,residential,,,Cumberland Street,False,True,117.18796824256415,,,,,"LINESTRING (-63.119537 46.238442, -63.119627 46.238515, -63.120477 46.239179, -63.120549 46.23923)"
8601214,8601207,0,693003012,residential,,,Richmond Street,False,True,66.3808364179336,,,,,"LINESTRING (-63.1189 46.238846, -63.119537 46.238442)"
8682416,12162206,0,2689209,residential,,,Hillsborough Street,False,False,63.732885421523,,,,,"LINESTRING (-63.121998 46.236153, -63.121439 46.23573)"
8682416,8597690,0,2018723,residential,,,Sydney Street,True,False,154.8760157779174,,,,,"LINESTRING (-63.121998 46.236153, -63.122639 46.235726, -63.123353 46.235262, -63.123458 46.235194)"
8682416,8601198,0,2689209,residential,,,Hillsborough Street,False,True,59.35348324133158,,,,,"LINESTRING (-63.121998 46.236153, -63.122036 46.236182, -63.122482 46.23652, -63.122518 46.236548)"
8682417,310870867,0,2018723,residential,,,Sydney Street,True,False,165.56507056319995,,,,,"LINESTRING (-63.126446 46.233277, -63.126576 46.233195, -63.126683 46.233128, -63.127788 46.232432, -63.127935 46.232338, -63.128039 46.232275)"
8682417,311067082,0,393243509,tertiary,2,,Queen Street,False,False,65.31480657063295,,,,,"LINESTRING (-63.126446 46.233277, -63.126486 46.233307, -63.126931 46.233642, -63.12702 46.23371)"
8682417,11000177,0,393243509,tertiary,2,,Queen Street,False,True,59.81061308168386,,,,,"LINESTRING (-63.126446 46.233277, -63.126412 46.233249, -63.125971 46.232896, -63.125938 46.23287)"
